metric,count,mean,std,min,25%,50%,75%,max
flow_robust_z_20d,693.0,0.032163223627785065,1.3910279578945752,-5.0,-0.7737805273557347,-0.011292379231056119,0.7573467098579031,5.0
flow_roll_pctile_30d,693.0,0.5095540438042947,0.3085795915633266,0.0,0.26666666666666666,0.5,0.7692307692307693,1.0
flow_acceleration_usd,693.0,-445021.645021645,329637608.0232678,-1080400000.0,-179700000.0,2500000.0,185700000.0,1150400000.0
flow_persistence_days,693.0,1.1370851370851371,4.06201509546737,-13.0,-1.0,1.0,3.0,16.0
cum_flow_5d_usd,693.0,404745743.14574313,1149407711.9645648,-2865100000.0,-314700000.0,290300000.0,1026300000.0,4368900000.0
cum_flow_20d_usd,693.0,1597254689.7546897,3124213629.5628576,-5585400000.0,-381900000.00000006,1354900000.0,3559700000.0,8875500000.0
