interaction_feature,count,mean,std,min,25%,50%,75%,max
etf_flow_x_asia,283853.0,0.010668712069254885,0.5877826370838022,-5.0,0.0,0.0,0.0,5.0
etf_flow_x_london,283853.0,0.008056733530758649,0.6958642728319392,-5.0,0.0,0.0,0.0,5.0
etf_flow_x_ny,283853.0,0.008491021733796547,0.7159915883629457,-5.0,0.0,0.0,0.0,5.0
etf_flow_x_overlap,283853.0,0.0032981143825842603,0.44952281974007735,-5.0,0.0,0.0,0.0,5.0
etf_flow_x_weekend,283853.0,0.02318361819732202,0.7665949741113683,-5.0,0.0,0.0,0.0,5.0
