metric,count,mean,std,min,25%,50%,75%,max
gbtc_net_flow_usd,693.0,-40175180.37518038,92638328.63469082,-642500000.0,-44500000.0,-6500000.0,0.0,102500000.0
non_gbtc_net_flow_usd,693.0,122845165.94516595,340180330.6126064,-1047600000.0,-90100000.0,85900000.0,300900000.0,1366500000.0
gbtc_share_of_total,693.0,0.01305236075875322,1.8248215197049729,-22.733766233766232,0.0,0.0,0.08102955195424213,20.930232558139537
non_gbtc_robust_z,693.0,0.034274239936729914,1.3508344709221076,-5.0,-0.7512376808400059,-0.06234950244519739,0.7757929797323936,5.0
