metric,count,mean,std,min,25%,50%,75%,max
total_net_flow_usd,693.0,82669985.56998557,338184483.7961835,-1113700000.0,-120600000.0,45100000.0,253600000.0,1373800000.0
gross_inflow_usd,693.0,218422799.4227994,259243093.56347376,0.0,12900000.0,114400000.0,337600000.0,1373800000.0
gross_outflow_usd,693.0,-135752813.85281384,172941112.747497,-1113700000.0,-191700000.0,-70700000.0,-2400000.0,0.0
total_gross_volume_usd,693.0,354175613.27561325,282599495.7478053,0.0,149300000.0,267100000.0,491800000.0,1513000000.0
flow_breadth,693.0,0.10494774585683678,0.37917637786681513,-0.9166666666666666,-0.16666666666666666,0.08333333333333333,0.4166666666666667,0.9090909090909091
flow_dispersion_usd,693.0,62042492.93487453,53358255.41413302,0.0,25760481.955032513,45314545.739260755,81939514.87055695,307451741.01890457
