metric,count,mean,std,min,25%,50%,75%,max
flow_breadth,693.0,0.10494774585683678,0.37917637786681513,-0.9166666666666666,-0.16666666666666666,0.08333333333333333,0.4166666666666667,0.9090909090909091
positive_fund_fraction,693.0,0.2932178932178932,0.23891859585612665,0.0,0.08333333333333333,0.25,0.5,0.9090909090909091
negative_fund_fraction,693.0,0.18827014736105646,0.18477525373597026,0.0,0.08333333333333333,0.16666666666666666,0.2727272727272727,0.9166666666666666
flow_herfindahl_index,693.0,0.4250363768210028,0.19182267613942625,0.0,0.29531111401666965,0.38414611795631753,0.5338479813427683,1.0
top_fund_contribution,693.0,0.5506932780598645,0.2001505263994171,0.0,0.4048865619546248,0.5358752166377816,0.6980790141355564,1.0
