feature_family,features_count,incremental_r2_val,incremental_r2_hold,leave_one_out_loss,family_status
CORE_BASELINE_C,34,0.0,0.0,0.0,CONTROL_BENCHMARK
ALL_ETF_FLOW_D,43,0.005558507147489844,-0.06287937219684459,0.0,FULL_MODEL
AGGREGATE_FLOW,4,-0.0024486663204846826,-0.005422221199003374,-0.0015282016138766785,MARGINAL
NORMALIZED_FLOW,7,-0.0033743999578840222,-0.008417965464622257,-0.0006546282654072977,MARGINAL
FLOW_BREADTH,6,-0.002416889518173093,-0.007311517132672307,-0.001352334459125637,MARGINAL
FLOW_PERSISTENCE,1,-0.0005374371053309401,0.002964144915006073,3.913068978422807e-05,MARGINAL
GBTC_STRUCTURE,4,-0.0005866503169271731,0.0020018829727787013,-0.001164901879025737,MARGINAL
CME_CONTEXT,3,-0.0022104050824769406,0.009912668200218966,0.0004176945088656403,MARGINAL
INTERACTIONS,18,0.0099538437192348,-0.06711345166517979,0.010490388439742149,QUALIFIED
