model,r2_val_2025,r2_holdout_2026,incremental_delta_e_minus_d,verdict
MODEL_D_ETF,0.43104034527100443,0.2921519651437048,0.0,BENCHMARK_ETF
MODEL_E_ETF_CONDITIONED_MACRO,0.4036424219389815,0.2972480989461208,-0.027397923332022955,SIGNIFICANT_DIFF
