event_id,timestamp_open,datetime_open_utc,event_type,entry_price,fwd_ret_15m,fwd_ret_30m,fwd_ret_1h,fwd_ret_2h,fwd_ret_4h,fwd_ret_8h,fwd_ret_12h,fwd_ret_24h
5m_5673,1786368600000,2026-08-10 13:30:00+00:00,BREAKDOWN_CANDIDATE,64688.89,-0.00193,0.00017,0.00168,-0.00529,-0.01096,-0.00891,-0.00993,-0.00842
5m_5675,1786380000000,2026-08-10 16:40:00+00:00,BREAKDOWN_CANDIDATE,63966.0,-0.00096,0.00047,-0.00026,-0.00122,0.00329,0.00012,0.0021,-0.00739
5m_5697,1786458000000,2026-08-11 14:20:00+00:00,BREAKDOWN_CANDIDATE,63952.01,-0.00014,-0.00297,-0.0024,-0.00503,-0.00567,-0.00362,-0.00222,-0.00316
5m_5699,1786459800000,2026-08-11 14:50:00+00:00,BREAKDOWN_CANDIDATE,63762.01,0.00074,0.00057,-0.00428,-0.00389,-0.00619,-0.00159,0.00018,-0.00411
5m_5700,1786462500000,2026-08-11 15:35:00+00:00,BREAKDOWN_CANDIDATE,63524.0,-0.00055,0.00161,0.00025,0.00017,-0.00138,0.00126,0.00482,-0.00032
5m_5708,1786543200000,2026-08-12 14:00:00+00:00,BREAKDOWN_CANDIDATE,63659.99,0.00205,-0.00122,-0.00314,-0.00273,-0.00284,-0.00289,-0.00339,0.00044
5m_5724,1786638900000,2026-08-13 16:35:00+00:00,BREAKDOWN_CANDIDATE,63078.74,-0.00027,0.00078,0.00158,0.00094,0.00576,0.00591,0.00509,0.00186
5m_5865,1786919700000,2026-08-16 22:35:00+00:00,BREAKDOWN_CANDIDATE,62739.06,0.00132,0.00339,0.00213,0.00132,0.00841,0.01377,0.01259,0.02527
5m_6160,1787925600000,2026-08-28 14:00:00+00:00,BREAKDOWN_CANDIDATE,78805.8,0.001,0.00604,0.00864,-0.00944,-0.0117,-0.01817,-0.013,-0.01403
5m_6167,1787931600000,2026-08-28 15:40:00+00:00,BREAKDOWN_CANDIDATE,78789.09,-0.00581,-0.01223,-0.01255,-0.01276,-0.01589,-0.01387,-0.0148,-0.01211
