offset,feature,mean,std,median,p10,p25,p75,p90
T_minus_5m,volatility_compression_ratio,1.5294777442700016,0.9376442380681942,1.3182643116580433,0.5362976490527949,0.861123078647108,2.007163950067824,2.883641717190182
T_minus_5m,volatility_realized_24h,0.0035434253972231743,0.003412628749732728,0.0021963137807750792,0.0008506045086413296,0.0013118929423106722,0.004675486707213811,0.00829546514784536
T_minus_5m,volume_zscore_24h,2.1157611047234064,2.8257257851752984,1.2499629097254972,-0.4523470924818103,0.08476512536816844,3.144410607746058,6.018576465179644
T_minus_5m,volume_buy_ratio,0.49294502374384885,0.09625815860008703,0.4922657579394908,0.37892090246120635,0.4366928385698725,0.5468630936557997,0.6121982864760134
T_minus_5m,return_log_1h,-0.0009091293771228247,0.0274671643201851,-0.000288395851763445,-0.03505458365413371,-0.016470076859806684,0.013665748372022482,0.033677089966411375
T_minus_5m,return_log_24h,-0.0193581070776258,0.06564485437931221,-0.0074367396544777805,-0.1120072455359446,-0.054249303327153095,0.01612917445052849,0.04738789821661162
T_minus_5m,trend_slope_24h,-5.01835855642519e-05,0.0003109539637343081,-1.0165265831717758e-05,-0.00046143317036473146,-0.00016102342900334342,8.543427447971501e-05,0.0002716082276965136
T_minus_15m,volatility_compression_ratio,1.381378038976578,0.8852223089151525,1.148882550080533,0.5127113410221756,0.7743077859763982,1.7704550961854733,2.6078274856670203
T_minus_15m,volatility_realized_24h,0.0034980783987645326,0.0034197552989796705,0.0021410984157176904,0.0008326313498402955,0.0012803101934143058,0.004620505886248119,0.008295288912255413
T_minus_15m,volume_zscore_24h,1.35852880105294,2.3557651255863243,0.5895698831968498,-0.5557513282877089,-0.236706328346316,2.032788958457507,4.320050549070259
T_minus_15m,volume_buy_ratio,0.4916843225240011,0.0914804244324741,0.49371374835128434,0.3835677626536521,0.4407151465570489,0.5409900320542413,0.5996700547512124
T_minus_15m,return_log_1h,-0.0006011473192730301,0.02456522083707295,-5.1043787313223655e-05,-0.030653327768833713,-0.010263903104509087,0.009025266177386002,0.029032850665405698
T_minus_15m,return_log_24h,-0.018988603787633614,0.06396141867937648,-0.0060209829233773045,-0.11097427654806519,-0.0504130711966484,0.01442826120007074,0.04449775365665777
T_minus_15m,trend_slope_24h,-4.9915289851631783e-05,0.0003082192423438543,-1.0149516970906712e-05,-0.00045355710890858706,-0.00015559113263965155,8.262004654395148e-05,0.00026426797608359085
T_minus_30m,volatility_compression_ratio,1.2632912491329467,0.8128801668775054,1.0548472296780673,0.5053107891548255,0.7243164588319888,1.5652743530390256,2.2981289777169223
T_minus_30m,volatility_realized_24h,0.00344832382844647,0.0034210697174238097,0.0020535735340605084,0.0008200540112207047,0.0012594876096181239,0.004537334840844676,0.008294160437672405
T_minus_30m,volume_zscore_24h,1.0323642059332625,2.230673868149485,0.234969363348569,-0.613769100253571,-0.34484596319746535,1.559160736868693,3.6411553700082573
T_minus_30m,volume_buy_ratio,0.4916183469674732,0.09251548445819896,0.4925494838510105,0.3824166966902123,0.439171337533283,0.5433406483834273,0.6022989452309268
T_minus_30m,return_log_1h,-0.0004728511742751224,0.020849162900804904,-7.020348131646152e-05,-0.022646873694923096,-0.00672332483022696,0.006061537788833006,0.021386183434568072
T_minus_30m,return_log_24h,-0.018778930206156508,0.06192461230546364,-0.005189833158919015,-0.10828184263959839,-0.04511305980041574,0.013204321589361124,0.041634608975470125
T_minus_30m,trend_slope_24h,-4.98326743396202e-05,0.0003053956245502315,-9.570526798533664e-06,-0.0004423642600441184,-0.000150499426833527,7.800822703520478e-05,0.0002597528274457516
T_minus_1h,volatility_compression_ratio,1.0584776199711607,0.6113001456832774,0.9134064371450964,0.47697757331698765,0.6635032061282146,1.314891518091544,1.784418145615338
T_minus_1h,volatility_realized_24h,0.0033672055021790634,0.003415822594735672,0.001941567622709591,0.0008101212841270945,0.001230892228530664,0.004409882496664413,0.00827713530314319
T_minus_1h,volume_zscore_24h,0.4391728605646201,1.6101710963519187,-0.07640398196227444,-0.694555073303059,-0.45674150319859563,0.6912163334065123,2.1442465677337585
T_minus_1h,volume_buy_ratio,0.4890010129891622,0.09325157854414211,0.4918105387028352,0.3783692197588271,0.4379137355671182,0.5412407980321707,0.5976872736103349
T_minus_1h,return_log_1h,-0.0009037028059340103,0.016501825037560817,-5.159576225601887e-05,-0.014500057577885016,-0.004525033245017311,0.003929199022573763,0.011806766370197277
T_minus_1h,return_log_24h,-0.019194789529028596,0.060114860409781534,-0.004658934171978558,-0.10808255344126849,-0.04106298422915087,0.011488115450479673,0.03750718031462341
T_minus_1h,trend_slope_24h,-4.984774703574926e-05,0.0003014580210847399,-9.988545767664616e-06,-0.0004422227689662131,-0.00014947268678733652,7.191292005653772e-05,0.00023911736348377239
T_minus_2h,volatility_compression_ratio,0.9726470091838483,0.523382274632252,0.8686819795697874,0.4669626365633706,0.6268258501968184,1.193435590719336,1.5925671798909273
T_minus_2h,volatility_realized_24h,0.0033118865354563754,0.0033746821014635285,0.001904108764867237,0.0008037540766398334,0.0012285113339974866,0.004289989888686303,0.0082014723677698
T_minus_2h,volume_zscore_24h,0.18583643524178592,1.2621144737495256,-0.16795132740922408,-0.7210080386380646,-0.4924648426464115,0.42872207105809257,1.3847570969385081
T_minus_2h,volume_buy_ratio,0.48856436367269834,0.09338147315994764,0.4912778289650467,0.3782114724507986,0.4368490896504351,0.5409055069759585,0.5955018186800827
T_minus_2h,return_log_1h,-0.000641091936956879,0.013878376980871673,-5.053569894402507e-05,-0.011990348481087912,-0.0038259777698127087,0.003416931274213169,0.009693287698072376
T_minus_2h,return_log_24h,-0.01879024527105464,0.05839846807600706,-0.004245285989352079,-0.10696718622269455,-0.03955971764723347,0.011106816122534044,0.03484307550515846
T_minus_2h,trend_slope_24h,-5.080670414240748e-05,0.0002950714860907773,-8.935433822092851e-06,-0.00044634899231049924,-0.00015173405643975776,6.477817388352143e-05,0.00021886616197953679
T_minus_4h,volatility_compression_ratio,0.9410558585911244,0.5182797084711792,0.826159916162448,0.45665874936146533,0.6209229433148616,1.118092460168441,1.5533395086871273
T_minus_4h,volatility_realized_24h,0.003250255773257773,0.0033089021120784,0.0018896066190920986,0.000805217540212552,0.0012284204403062824,0.004219406232510554,0.007840123185442078
T_minus_4h,volume_zscore_24h,0.11948883284615097,1.2056886640648856,-0.2262486565028945,-0.7439269018226863,-0.5184457606875666,0.3240045950460013,1.2731778145308938
T_minus_4h,volume_buy_ratio,0.48900123690772884,0.0963373725730876,0.49102695389401385,0.3725214246903436,0.4369399336296943,0.5434200652627835,0.6011114069708668
T_minus_4h,return_log_1h,-0.0005107679675134234,0.014223142687692234,-6.744551769900908e-05,-0.011894518289176937,-0.0036611734444194624,0.003260014893285129,0.009570333336529792
T_minus_4h,return_log_24h,-0.018828434796487985,0.05772213527173533,-0.00407584608881746,-0.10774824982825093,-0.03671753702650551,0.010467442325749237,0.033702207339078416
T_minus_4h,trend_slope_24h,-5.594721004775167e-05,0.00029137423302878036,-1.0101529604232234e-05,-0.00044671509627536787,-0.00014426177670755796,5.980721807657769e-05,0.00020793722227877386
T_minus_8h,volatility_compression_ratio,0.9297648822680317,0.5376188401999563,0.8023251041201986,0.4518780646673876,0.5952346278839933,1.1148190019122834,1.5219351370090588
T_minus_8h,volatility_realized_24h,0.0031004885513327444,0.003086454923967825,0.0019071609329157717,0.0008202576846737934,0.0012223194697251014,0.003944486755465673,0.00714919727622193
T_minus_8h,volume_zscore_24h,0.06800054250620793,1.1564306423878623,-0.2613171755339449,-0.762607743207613,-0.5425469229669123,0.27520300116414964,1.1947725687982869
T_minus_8h,volume_buy_ratio,0.4894287598759038,0.09713728651051538,0.4906476137740903,0.37591413109508554,0.43630584592328736,0.5429405399268699,0.6041632604604665
T_minus_8h,return_log_1h,-0.0005637750176257102,0.014891226296310732,-5.388206318151893e-05,-0.011457741027803281,-0.003536276954572725,0.0031410466503153612,0.009100444263583592
T_minus_8h,return_log_24h,-0.017990813546714158,0.05816104321973265,-0.0029303790304339083,-0.10564245083800675,-0.036035804666643904,0.010347991804528637,0.034341751096799475
T_minus_8h,trend_slope_24h,-7.336528650318625e-05,0.00029862878093507946,-1.2921640094701005e-05,-0.0005125742385946546,-0.00015292388042587203,5.712545434980962e-05,0.00018584645987686427
T_minus_12h,volatility_compression_ratio,0.9537619364684178,0.5456979525156809,0.8256821416090291,0.46909900758859374,0.6136997909793239,1.1300214079028996,1.5492421454430718
T_minus_12h,volatility_realized_24h,0.0029168174853341096,0.0028376723880173516,0.0018541923126481428,0.0008051664745919378,0.0012308699026227802,0.0035491358489441035,0.005998905469326511
T_minus_12h,volume_zscore_24h,0.07361662089171798,1.1339576098466877,-0.25672896708837345,-0.7534918033569218,-0.5456769686501176,0.2950634492459461,1.200973367382637
T_minus_12h,volume_buy_ratio,0.48893708221035176,0.09955234593193177,0.49154553224732117,0.370929687627366,0.4357312240864821,0.5439245842010041,0.6033026513269288
T_minus_12h,return_log_1h,-0.0012018329559628366,0.01430270075723098,-0.000320452390929932,-0.012556845341021732,-0.003957574585424381,0.0026319747922095064,0.008805007157740713
T_minus_12h,return_log_24h,-0.01798601789602338,0.05674557721150785,-0.003014886291499734,-0.1021739244984125,-0.03507456565156147,0.01093437830685716,0.03409747589168106
T_minus_12h,trend_slope_24h,-7.939608548471652e-05,0.0002937455568548115,-1.5677032957814672e-05,-0.0005216216417936663,-0.00015668693678808966,5.64811760903637e-05,0.00018289610141379752
