fold_name,train_bars,test_bars,model_c_r2,model_f_r2,delta_r2
Fold 1 (2021 -> 2022),104923,105120,-0.2226454418283763,-0.1881928499283987,0.034452591899977625
Fold 2 (2021-22 -> 2023),210043,105104,0.24814282091736128,0.22887765109569413,-0.01926516982166715
Fold 3 (2021-23 -> 2024),315147,105408,0.4078248118468756,0.4068282323143537,-0.0009965795325218574
Fold 4 (2021-24 -> 2025),420555,105120,0.42828947313436105,0.4250951017826624,-0.003194371351698644
Fold 5 (2021-25 -> 2026),525675,76553,0.45148561845844737,0.44823611007582753,-0.0032495083826198368
