model_name,n_features,vol_r2_discovery,vol_r2_validation,vol_r2_holdout,jump_auc_validation,jump_auc_holdout,jump_brier_validation,dir_accuracy_validation,dir_accuracy_holdout,delta_vol_r2_validation,delta_jump_auc_validation,delta_dir_acc_validation
Model A (Spot),5,0.47432012134256996,0.3971425454431121,0.43908074227318716,0.9097575500120966,0.7979619006456852,0.002731098241396843,0.5043854642313547,0.49667550585868614,-0.031146927691248938,0.002772652745094417,-0.00776255707762552
Model B (Spot + Derivatives),9,0.4782850034053302,0.39797944512394523,0.4176711536987905,0.9060266118958538,0.7943385328670779,0.0027153837721979107,0.5077625570776255,0.503285305605267,-0.030310028010415824,-0.000958285371148393,-0.004385464231354663
Model C (Spot + Deriv + Session) [BASELINE],14,0.486752832157046,0.42828947313436105,0.44705094097817843,0.9069848972670022,0.8326779563343942,0.002709935100386557,0.5121480213089802,0.502775854636657,0.0,0.0,0.0
Model D (Core + Event Presence/Class),28,0.49046099944269383,0.42634454222947515,0.44361186849975653,0.9052467420308212,0.8245042761908504,0.0026955825041689715,0.5101788432267884,0.5034681854401526,-0.0019449309048858998,-0.0017381552361809272,-0.0019691780821917693
Model E (Core + Event Semantics),37,0.490842845629753,0.42611109666563785,0.4433446650635531,0.9056946420607044,0.817189697850772,0.002695272825048672,0.5101978691019787,0.5040821391715543,-0.0021783764687232088,-0.0012902552062977746,-0.0019501522070014543
Model F (Core + Event Surprise/Severity),42,0.49125332116328924,0.4250951017826624,0.4423447016742701,0.9051154896400516,0.8188710987125587,0.002698927140466926,0.5105688736681887,0.5023839692761878,-0.003194371351698644,-0.0018694076269505366,-0.0015791476407914784
Model G (Core + Event Intel + Fresh Interactions),51,0.49217572760612205,0.422945719914667,0.4375634029147517,0.9058874491305585,0.8160800492449544,0.0027031015324457497,0.5094939117199391,0.5022010894413022,-0.005343753219694047,-0.001097448136443635,-0.0026541095890411093
