event_family,horizon,window_bars,window_type,n_events,ev_mean_abs_ret_pct,ctrl_mean_abs_ret_pct,vol_ratio,ev_jump_rate_pct,ctrl_jump_rate_pct,jump_multiplier,ev_directional_pos_pct,ctrl_directional_pos_pct,mean_signed_ret_bps
ALL,+5m,1,POST,220,0.20895986502296426,0.11596178995538718,1.8019561714870314,5.0,1.3636363636363635,3.66666397777975,47.27272727272727,51.45454545454545,-1.235586494992689
ALL,+15m,3,POST,220,0.37456199051681033,0.20587920490585696,1.819320078334324,3.1818181818181817,0.9090909090909091,3.4999961500042347,51.81818181818182,51.090909090909086,-8.653171986373549
ALL,+30m,6,POST,220,0.5627464449098172,0.2859624331873203,1.9678965196266553,3.6363636363636362,1.090909090909091,3.333330277780578,49.09090909090909,51.63636363636363,-22.39759457980182
ALL,+1h,12,POST,220,0.6419338445304611,0.3837394996490768,1.6728331909649805,5.454545454545454,1.090909090909091,4.999995416670868,50.90909090909091,52.81818181818182,-7.853004902805645
ALL,+4h,48,POST,220,1.4258295366979363,0.802415377805241,1.7769197839628434,4.545454545454546,0.45454545454545453,9.9999780000484,46.81818181818182,52.36363636363637,-17.340090120515566
ALL,+12h,144,POST,220,2.0646080334430748,1.4392783568175658,1.4344734562220027,2.727272727272727,0.45454545454545453,5.99998680002904,53.18181818181819,50.90909090909091,-11.629029414770933
ALL,+24h,288,POST,220,2.782203895002012,2.0943799029508114,1.3284135140279947,1.8181818181818181,0.5454545454545455,3.3333272222334256,47.72727272727273,48.90909090909091,-13.23948528811753
ALL,+48h,576,POST,220,3.6224677247214574,2.8715039526693125,1.261522366992284,1.8181818181818181,0.45454545454545453,3.99999120001936,51.36363636363637,52.27272727272727,26.00098128143627
ALL,-24h,-288,PRE,220,2.211891725831108,2.2748300492704345,0.9723323086083637,1.3636363636363635,1.090909090909091,1.249998854167717,53.63636363636364,51.090909090909086,-9.597517936193142
ALL,-12h,-144,PRE,220,1.5661297115881445,1.5334003076354825,1.0213436650860364,2.272727272727273,0.8181818181818182,2.7777743827201986,53.18181818181819,51.72727272727272,-9.324349458178606
ALL,-4h,-48,PRE,220,0.9842461518844098,0.8461507836784508,1.1632028329546567,2.727272727272727,1.2727272727272727,2.142855459184996,55.45454545454545,52.0,5.87565221743791
ALL,-1h,-12,PRE,220,0.6022650526975528,0.4095484411893384,1.4705551811975743,3.1818181818181817,1.090909090909091,2.916663993058006,52.72727272727272,49.63636363636363,9.126282161521893
ALL,-15m,-3,PRE,220,0.3700068180974467,0.2056510399560374,1.7991886595267603,6.363636363636363,0.8181818181818182,7.777768271616556,47.27272727272727,51.45454545454545,2.1611266139174097
ISOLATED_ONLY,+5m,1,POST,190,0.19821628212167508,0.11596178995538718,1.7093093586135018,4.2105263157894735,1.3636363636363635,3.0877170339197892,47.368421052631575,51.45454545454545,-1.8732605135151128
ISOLATED_ONLY,+15m,3,POST,190,0.3537219160339922,0.20587920490585696,1.7180958033130918,3.1578947368421053,0.9090909090909091,3.4736803894778876,50.0,51.090909090909086,-8.650275469592062
ISOLATED_ONLY,+30m,6,POST,190,0.5515227918817698,0.2859624331873203,1.9286479594070858,3.1578947368421053,1.090909090909091,2.8947341885989233,50.0,51.63636363636363,-21.565598006002496
ISOLATED_ONLY,+1h,12,POST,190,0.6383097969240313,0.3837394996490768,1.663389184899048,5.7894736842105265,1.090909090909091,5.307012679098026,53.1578947368421,52.81818181818182,-4.397688450865563
ISOLATED_ONLY,+4h,48,POST,190,1.3630052192906028,0.802415377805241,1.6986258717932419,4.2105263157894735,0.45454545454545453,9.263137515834307,46.8421052631579,52.36363636363637,-10.645910653975388
ISOLATED_ONLY,+12h,144,POST,190,1.948433793651439,1.4392783568175658,1.353756506283589,2.631578947368421,0.45454545454545453,5.789460947396442,53.68421052631579,50.90909090909091,-1.0207059324274588
ISOLATED_ONLY,+24h,288,POST,190,2.5784170497702688,2.0943799029508114,1.2311118030810393,1.0526315789473684,0.5454545454545455,1.929821023398299,49.473684210526315,48.90909090909091,6.181753772828252
ISOLATED_ONLY,+48h,576,POST,190,3.272330113107947,2.8715039526693125,1.1395871388158438,0.5263157894736842,0.45454545454545453,1.1578921894792884,51.578947368421055,52.27272727272727,43.538599835976584
ISOLATED_ONLY,-24h,-288,PRE,190,2.128341888658435,2.2748300492704345,0.9356043778904017,1.5789473684210527,1.090909090909091,1.4473670942994616,54.21052631578947,51.090909090909086,-13.071857917038239
ISOLATED_ONLY,-12h,-144,PRE,190,1.5033486822168338,1.5334003076354825,0.9804013305134125,2.631578947368421,0.8181818181818182,3.216370337886546,52.63157894736842,51.72727272727272,-19.793418863946144
ISOLATED_ONLY,-4h,-48,PRE,190,0.9486663900447165,0.8461507836784508,1.1211539210147463,3.1578947368421053,1.2727272727272727,2.48120105800368,54.736842105263165,52.0,1.43644569135918
