horizon,partition,p10,p50,p90,p99
15m,VALIDATION_2025,0.00017617473281027622,0.0010110043090641018,0.0033485995750421956,0.008670815057253586
30m,VALIDATION_2025,0.0002456701355366748,0.0014119574817656935,0.004723025092570799,0.01244324524662613
1h,VALIDATION_2025,0.0003365470673605342,0.0019519558366190611,0.006716310804434686,0.017699191327833128
2h,VALIDATION_2025,0.0004709055854521764,0.002784653604353743,0.009617974924583708,0.024256075465250958
4h,VALIDATION_2025,0.0006534260205259139,0.00394752107617116,0.014308224648275148,0.034122159477840426
8h,VALIDATION_2025,0.0009764030252177786,0.005911133820986126,0.02067745288616671,0.04627575149040881
12h,VALIDATION_2025,0.0011871117218600696,0.007695033508497162,0.025601559980405274,0.05596078106789155
24h,VALIDATION_2025,0.0017751721117976803,0.011242187685015443,0.03522391731984245,0.07622293781958508
