horizon,partition,p10,p50,p90,p99
15m,VALIDATION_2025,0.0009319607499906028,0.0022707670891120575,0.0056292918989701264,0.012572364009151458
30m,VALIDATION_2025,0.0014397308756642338,0.003314535856980948,0.008061399778939554,0.017920121068401115
1h,VALIDATION_2025,0.002162277770860167,0.004801498480490827,0.011639720641997416,0.02548817048268334
2h,VALIDATION_2025,0.003160065982574104,0.00695990588724568,0.01680078896785027,0.03587934913358339
4h,VALIDATION_2025,0.004707306452139964,0.010129574195139157,0.024282422228579927,0.04926250706004595
8h,VALIDATION_2025,0.007014330534804081,0.015066763626509761,0.03444413206596254,0.06966482539791963
12h,VALIDATION_2025,0.008884947448811773,0.01927968112343089,0.041677203779911055,0.08017996482444158
24h,VALIDATION_2025,0.013747118752273,0.028867930034591732,0.05791080544658582,0.10823825272142773
