horizon,target_description,model_id,model_name,raw_accuracy_val_2025,majority_baseline_val,trend_baseline_val,lift_over_majority_val,lift_over_trend_val,p_value_val,raw_accuracy_holdout_2026,majority_baseline_holdout,trend_baseline_holdout,lift_over_majority_holdout,lift_over_trend_holdout,directional_verdict
fwd_ret_4h,4h Direction (Sign of 4h Return),MODEL_A_SPOT_ONLY,Baseline A: Spot Only,0.5310692541856925,0.5111206240487063,0.4645643074581431,0.019948630136986223,0.06650494672754942,1.317272444116904e-38,0.5070899277284786,0.501378778572082,0.49564149143327624,0.005711149156396589,0.011448436295202369,UNVERIFIED_OR_NO_EDGE
fwd_ret_4h,4h Direction (Sign of 4h Return),MODEL_B_SPOT_DERIV,Baseline B: Spot + Derivatives,0.5333999238964993,0.5111206240487063,0.4645643074581431,0.022279299847792977,0.06883561643835617,1.1738872896238154e-47,0.5090110694355503,0.501378778572082,0.49564149143327624,0.007632290863468283,0.013369578002274063,UNVERIFIED_OR_NO_EDGE
fwd_ret_4h,4h Direction (Sign of 4h Return),MODEL_C_SPOT_DERIV_SESSION,Experimental C: Spot + Deriv + Session,0.5286719939117199,0.5111206240487063,0.4645643074581431,0.017551369863013644,0.06410768645357684,2.485693103143186e-30,0.5042016806722689,0.501378778572082,0.49564149143327624,0.002822902100186875,0.008560189238992655,UNVERIFIED_OR_NO_EDGE
fwd_ret_4h,4h Direction (Sign of 4h Return),MODEL_D_SPOT_DERIV_MACRO,Experimental D: Spot + Deriv + Macro,0.5189783105022832,0.5111206240487063,0.4645643074581431,0.007857686453576873,0.05441400304414007,1.7518328635738305e-07,0.5102656925911889,0.501378778572082,0.49564149143327624,0.008886914019106906,0.014624201157912686,UNVERIFIED_OR_NO_EDGE
fwd_ret_4h,4h Direction (Sign of 4h Return),MODEL_E_SPOT_DERIV_SESSION_MACRO,Experimental E: Spot + Deriv + Session + Macro,0.5161815068493151,0.5111206240487063,0.4645643074581431,0.00506088280060879,0.051617199391171986,0.0005196318074217481,0.504227818654678,0.501378778572082,0.49564149143327624,0.0028490400825960105,0.00858632722140179,UNVERIFIED_OR_NO_EDGE
fwd_ret_24h,24h Direction (Sign of 24h Return),MODEL_A_SPOT_ONLY,Baseline A: Spot Only,0.512937595129376,0.51470700152207,0.487062404870624,-0.0017694063926940728,0.025875190258751957,0.8751203577035045,0.49186517560994797,0.509734258033221,0.5102717726182204,-0.017869082423273064,-0.018406597008272463,UNVERIFIED_OR_NO_EDGE
fwd_ret_24h,24h Direction (Sign of 24h Return),MODEL_B_SPOT_DERIV,Baseline B: Spot + Derivatives,0.5225266362252664,0.51470700152207,0.487062404870624,0.007819634703196354,0.035464231354642384,1.9832990994669518e-07,0.4901739711839742,0.509734258033221,0.5102717726182204,-0.019560286849246822,-0.02009780143424622,UNVERIFIED_OR_NO_EDGE
fwd_ret_24h,24h Direction (Sign of 24h Return),MODEL_C_SPOT_DERIV_SESSION,Experimental C: Spot + Deriv + Session,0.522212709284627,0.51470700152207,0.487062404870624,0.00750570776255699,0.03515030441400302,5.670168866992757e-07,0.4913407711367778,0.509734258033221,0.5102717726182204,-0.018393486896443212,-0.01893100148144261,UNVERIFIED_OR_NO_EDGE
fwd_ret_24h,24h Direction (Sign of 24h Return),MODEL_D_SPOT_DERIV_MACRO,Experimental D: Spot + Deriv + Macro,0.5056887366818874,0.51470700152207,0.487062404870624,-0.009018264840182644,0.018626331811263386,0.9999999975803766,0.5159353409284582,0.509734258033221,0.5102717726182204,0.006201082895237131,0.005663568310237732,UNVERIFIED_OR_NO_EDGE
fwd_ret_24h,24h Direction (Sign of 24h Return),MODEL_E_SPOT_DERIV_SESSION_MACRO,Experimental E: Spot + Deriv + Session + Macro,0.49807838660578385,0.51470700152207,0.487062404870624,-0.0166286149162862,0.01101598173515983,1.0,0.522791929415158,0.509734258033221,0.5102717726182204,0.01305767138193692,0.01252015679693752,UNVERIFIED_OR_NO_EDGE
