model_id,model_name,feature_count,threshold_q95,auc_discovery,auc_validation_2025,auc_holdout_2026,delta_auc_val_vs_model_b,brier_score_val,brier_score_holdout,tail_lift_verdict
MODEL_A_SPOT_ONLY,Baseline A: Spot Only,8,0.028411633886951917,0.7709686956395274,0.7940670116721409,0.7390012212961178,0.7940670116721409,0.11757889849540795,0.11611740707069097,VERIFIED_LIFT
MODEL_B_SPOT_DERIV,Baseline B: Spot + Derivatives,21,0.028411633886951917,0.788506304105975,0.7701864275032352,0.7001788594820605,0.0,0.10153045894173579,0.10700835307278216,BASELINE_OR_MARGINAL
MODEL_C_SPOT_DERIV_SESSION,Experimental C: Spot + Deriv + Session,40,0.028411633886951917,0.8044822851795312,0.8058890420637841,0.7233234870092488,0.035702614560548906,0.10337940945870176,0.1084889796233551,VERIFIED_LIFT
MODEL_D_SPOT_DERIV_MACRO,Experimental D: Spot + Deriv + Macro,44,0.028411633886951917,0.7955188576736998,0.7137523631258506,0.6791193302694194,-0.05643406437738463,0.09566268317857395,0.06940757438280586,BASELINE_OR_MARGINAL
MODEL_E_SPOT_DERIV_SESSION_MACRO,Experimental E: Spot + Deriv + Session + Macro,63,0.028411633886951917,0.8095679333745386,0.7689685863133542,0.7148324485398515,-0.001217841189880997,0.09646266822973518,0.07120828397017685,BASELINE_OR_MARGINAL
