category_type,category_name,sample_size,pct_of_total,mean_signed_ret_4h,std_signed_ret_4h,mean_abs_ret_4h,mean_volatility_4h,mean_range_4h,tail_frequency_95th
HOUR_UTC,Hour_00,25104,4.168437832093518,-0.0002790685099001659,0.01218964807363383,0.007610351045250662,0.0014171746248302622,0.01602913666514591,0.047562141491395794
HOUR_UTC,Hour_01,25104,4.168437832093518,-0.00023983070127371,0.011423221997224675,0.006921623726341237,0.0013139499576912193,0.014577596082090466,0.037723072020395154
HOUR_UTC,Hour_02,25068,4.162460148777896,-1.1652418565464953e-05,0.010619453459208571,0.006427015063871541,0.001245335619979848,0.013587245691816572,0.034625817775650235
HOUR_UTC,Hour_03,25071,4.162958289054198,0.00022166336597691713,0.010119699250621813,0.006263409593210982,0.0012316357269377364,0.013439869447081535,0.03170994375972239
HOUR_UTC,Hour_04,25063,4.16162991498406,0.00035159582522187045,0.01029757806513957,0.0064221036333585516,0.0012547508886161121,0.013911080807259352,0.034393328811395285
HOUR_UTC,Hour_05,25080,4.164452709883103,0.0003711538037560945,0.010937895098702662,0.006708491111807263,0.0012897374043464285,0.014373188487083964,0.04098883572567783
HOUR_UTC,Hour_06,25086,4.165448990435706,0.0003006287502506495,0.011374344201727705,0.006924047371316466,0.001314137336842848,0.014668867325352844,0.041098620744638444
HOUR_UTC,Hour_07,25080,4.164452709883103,0.00031841874306616703,0.011163521859481587,0.006714236249645668,0.001316102403397029,0.01456591362571173,0.03536682615629984
HOUR_UTC,Hour_08,25083,4.164950850159404,0.00029766035976685183,0.011220699933099074,0.006821625466309791,0.001358957998571215,0.014797108366805367,0.03604034605111031
HOUR_UTC,Hour_09,25104,4.168437832093518,0.0003217933520505934,0.011521037331034477,0.007021863004577455,0.001466280586260353,0.015697209243235186,0.034217654557042704
HOUR_UTC,Hour_10,25104,4.168437832093518,0.00010627689069819799,0.01239085782271358,0.008041614480612075,0.001656541727490028,0.01799792508141216,0.041945506692160614
HOUR_UTC,Hour_11,25104,4.168437832093518,0.00011447848941348584,0.013961552653181074,0.009377375937546463,0.0018470140961547256,0.020475714311121218,0.0659257488846399
HOUR_UTC,Hour_12,25100,4.167773645058449,2.6256498638832265e-05,0.015325453513953974,0.010263642490744768,0.0019219719073127366,0.021685611098484055,0.0849003984063745
HOUR_UTC,Hour_13,25092,4.16644527098831,-0.00011946217264571149,0.015525779903468874,0.010205721568404215,0.0019101718697790548,0.02158325874919835,0.08600350709389447
HOUR_UTC,Hour_14,25104,4.168437832093518,6.293998615612803e-05,0.014534753762627936,0.009621293402319262,0.0018202509348569866,0.02033115080413424,0.07775653282345443
HOUR_UTC,Hour_15,25104,4.168437832093518,-6.901208184884572e-05,0.01324477903292024,0.008765200787488851,0.001711312614164612,0.018933569845362243,0.06253983428935628
HOUR_UTC,Hour_16,25104,4.168437832093518,-2.88186813441338e-05,0.013434988125333884,0.008615562674326145,0.0016575820342413267,0.018467239078542294,0.06174314850223072
HOUR_UTC,Hour_17,25104,4.168437832093518,0.00031627055983808876,0.012681974531915163,0.008044188417468937,0.0016402270149066043,0.017948533286837196,0.05648502230720204
HOUR_UTC,Hour_18,25104,4.168437832093518,0.0006192235612346871,0.012113596848734054,0.0077344491328812815,0.001627795374357896,0.017614864127375854,0.05170490758444869
HOUR_UTC,Hour_19,25104,4.168437832093518,0.0006940981371274323,0.011825296920974993,0.007584195118260654,0.0015892915692227658,0.017180574245101585,0.046367112810707455
HOUR_UTC,Hour_20,25097,4.167275504782147,0.0006111166903205808,0.012172997951978614,0.00765248952836174,0.001562432048334488,0.016901763249222247,0.04777463441845639
HOUR_UTC,Hour_21,25092,4.16644527098831,0.00032667138573975747,0.01230813994957825,0.0076940454013682295,0.0015562867857136975,0.017009234648074346,0.046947234178224134
HOUR_UTC,Hour_22,25092,4.16644527098831,-0.00012177100468356369,0.01212662749073767,0.0075723797788166845,0.0015282546483201106,0.01692428072607682,0.04874063446516818
HOUR_UTC,Hour_23,25092,4.16644527098831,-0.0003302982750023892,0.012015921751122047,0.007628044625316514,0.0014954764292051702,0.01682392667062891,0.04726606089590308
WEEKDAY,Monday,86112,14.298618490967055,0.0005122896500100696,0.01419511320997758,0.009235164869692987,0.001695465851116295,0.01927687222073558,0.06613480118914901
WEEKDAY,Tuesday,86082,14.29363708820404,4.589311304578196e-05,0.012628596666627741,0.008283259711445345,0.0016639044597954998,0.018293263375069646,0.05138124114216677
WEEKDAY,Wednesday,86045,14.28749335812965,0.0006506989397581565,0.01355897780167984,0.008766592870195449,0.0017070330217098236,0.018886746794601124,0.06317624498808763
WEEKDAY,Thursday,85809,14.248306323060575,-0.0004717420094038596,0.012615104069933897,0.008319738458901774,0.001649667037005213,0.01804520619950799,0.05655583913109347
WEEKDAY,Friday,86042,14.286995217853349,0.0002754593863403327,0.012959957637885829,0.008301499677445364,0.0016153057972796408,0.017831467472648375,0.0546244857162781
WEEKDAY,Saturday,86094,14.295629649309246,-1.980808995612733e-05,0.008585761235551726,0.004850323789035355,0.001100066716117848,0.011543730705235528,0.019943317768950218
WEEKDAY,Sunday,86056,14.289319872476089,0.00013127950910403377,0.011064579254450061,0.006683479454056686,0.001283230247840892,0.014411168211927712,0.03818443804034582
SESSION,ASIA_SESSION,107475,17.84587539851222,0.00016109862153622666,0.011666297242431133,0.007492358429831966,0.0013979566362244198,0.015656615856933932,0.044056757385438475
