boundary_name,window_offset,offset_bars_5m,sample_size,mean_signed_return_4h,mean_abs_return_4h,mean_realized_vol_4h,mean_range_4h,tail_event_probability_95th
ASIA_OPEN,T-120m,-24,1493,2.139270471830679e-05,0.008562188090805542,0.0016662155024459054,0.018662042569994132,0.056932350971198926
ASIA_OPEN,T-60m,-12,1493,-0.0003422080589465395,0.008440808871245053,0.0016398340924934254,0.01860509515872656,0.05760214333556597
ASIA_OPEN,T-30m,-6,1493,-0.0005524185683364191,0.008660471360822448,0.0016309514117615984,0.018724553288874332,0.05961152042866711
ASIA_OPEN,T-15m,-3,1493,-0.0005211987110745425,0.00874898841976371,0.0016271563311809473,0.01871774121195763,0.061620897521768254
ASIA_OPEN,T,0,1493,-0.00021557870922918015,0.008862891893011577,0.0016102817399281648,0.018621892526067704,0.05961152042866711
ASIA_OPEN,T+15m,3,1493,-0.00044392202533761755,0.008852562104227165,0.001574673198825676,0.018212513314203576,0.06630944407233758
ASIA_OPEN,T+30m,6,1493,-0.0004428790925137652,0.0086917143503355,0.0015392588699056067,0.01771197085285238,0.06430006697923643
ASIA_OPEN,T+60m,12,1493,-0.0003888959121695799,0.008152525661272014,0.0014735905632494808,0.01678147031188394,0.048894842598794376
ASIA_OPEN,T+120m,24,1493,-0.00013696335347551845,0.007221342946192461,0.0013657587879537167,0.015084986167725765,0.0361687876758205
ASIA_OPEN,T+4h,48,1493,0.00045442445726434475,0.006829163878386572,0.0013343783387749345,0.014735495193801,0.03281982585398526
LONDON_OPEN,T-120m,-24,1494,0.0007077295188716668,0.00767012167825796,0.0014136035503277103,0.016061256640716257,0.049531459170013385
LONDON_OPEN,T-60m,-12,1494,0.0005222170010974674,0.007628437052771161,0.001426477608800354,0.016087259045930953,0.04350736278447122
LONDON_OPEN,T-30m,-6,1494,0.0005200281344180346,0.007386031385639391,0.0014286316366478858,0.01595399122673889,0.040160642570281124
