instrument,symbol,asset_class,sample_days,lag_0_correlation,peak_lag_days,peak_correlation,lead_lag_verdict,corr_lag_minus_2,corr_lag_minus_1,corr_lag_plus_1,corr_lag_plus_2
NASDAQ,^IXIC,EQUITY,1436,0.39803397730576184,0,0.39803397730576184,COINCIDENT_LAG_0,0.39588156774179384,0.39745584993996874,0.39745584993996874,0.3958815677417939
SP500,^GSPC,EQUITY,1436,0.3829200042100597,0,0.3829200042100597,COINCIDENT_LAG_0,0.3807037535015905,0.3821364194234705,0.38213641942347054,0.3807037535015905
VIX,^VIX,VOLATILITY,1438,-0.33693840670941594,0,-0.33693840670941594,COINCIDENT_LAG_0,-0.33607163378553867,-0.33611196422308826,-0.33611196422308826,-0.3360716337855386
DXY,DX-Y.NYB,CURRENCY,1438,-0.1543215233512751,-5,-0.156625473701166,BTC_LEADS_MACRO_BY_5D,-0.1535881802497022,-0.15392759058329802,-0.15392759058329802,-0.15358818024970217
TNX,^TNX,RATES,1436,0.008908520478509227,-1,0.009527543079761084,BTC_LEADS_MACRO_BY_1D,0.007681870274651133,0.009527543079761084,0.009527543079761084,0.007681870274651134
2YY,2YY=F,RATES,1284,0.010996841473646954,4,0.011332963145694465,MACRO_LEADS_BTC_BY_4D,0.010385208573467166,0.011293437980297829,0.01129343798029783,0.010385208573467168
GOLD,GC=F,COMMODITY,1440,0.07725447189448269,-5,0.0851957871580455,BTC_LEADS_MACRO_BY_5D,0.07810949602350509,0.07840232762497815,0.07840232762497815,0.07810949602350507
OIL,CL=F,COMMODITY,1439,0.029958008007922476,0,0.029958008007922476,COINCIDENT_LAG_0,0.026653887224867674,0.029006315768346846,0.029006315768346842,0.026653887224867678
