instrument_name,symbol,asset_class,mean_age_hours,median_age_hours,max_age_hours,pct_market_open,pct_stale,staleness_threshold_rule
NASDAQ,^IXIC,EQUITY,23.90520874845023,17.416666666666668,95.91666666666667,18.550743889479275,85.31582093517535,age > 60h or market_closed
SP500,^GSPC,EQUITY,23.90520874845023,17.416666666666668,95.91666666666667,18.550743889479275,85.31582093517535,age > 60h or market_closed
VIX,^VIX,VOLATILITY,23.83634583665427,17.416666666666668,95.91666666666667,18.550743889479275,85.28991764080766,age > 60h or market_closed
DXY,DX-Y.NYB,CURRENCY,23.859300140586257,17.416666666666668,95.91666666666667,71.41505047821467,37.36616631243358,age > 60h or market_closed
TNX,^TNX,RATES,23.90520874845023,17.416666666666668,95.91666666666667,18.550743889479275,85.31582093517535,age > 60h or market_closed
2YY,2YY=F,RATES,39.31015320580943,19.5,168.0,18.550743889479275,86.90887353878853,age > 60h or market_closed
GOLD,GC=F,COMMODITY,23.836624795209,17.416666666666668,95.91666666666667,71.41505047821467,37.39588868225292,age > 60h or market_closed
OIL,CL=F,COMMODITY,23.848101947174992,17.416666666666668,95.91666666666667,71.41505047821467,37.39588868225292,age > 60h or market_closed
