fold_id,description,train_span,test_span,test_sample_size,r2_model_a_spot,r2_model_b_deriv,r2_model_c_session,r2_model_d_macro,r2_model_e_combined,delta_r2_e_vs_b,delta_r2_e_vs_a,stability_status
FOLD_1,Train 2021 -> Test 2022 (Fed Tightening Bear),2021-01-01 to 2022-01-01,2022-01-01 to 2023-01-01,105120,0.389987052476948,0.4509427270706071,0.4779875263424529,-2.071547446018931,-2.018731027066174,-2.4696737541367813,-2.408718079543122,DEGRADED
FOLD_2,Train 2021-2022 -> Test 2023 (Chop & Banking Crisis),2021-01-01 to 2023-01-01,2023-01-01 to 2024-01-01,105104,0.08932837058621157,0.1695822005890989,0.21325119759121303,0.19372204776211255,0.23816128117230873,0.06857908058320983,0.14883291058609716,STABLE_POSITIVE_LIFT
FOLD_3,Train 2021-2023 -> Test 2024 (US Spot ETF Expansion),2021-01-01 to 2024-01-01,2024-01-01 to 2025-01-01,105408,0.3523574543258695,0.3623705181705924,0.4349365612467654,0.34133244699791176,0.41073106396352277,0.048360545792930365,0.058373609637653256,STABLE_POSITIVE_LIFT
FOLD_4_VALIDATION,Train 2021-2024 -> Test 2025 (Validation Partition),2021-01-01 to 2025-01-01,2025-01-01 to 2026-01-01,105120,0.3250108261781165,0.35495018597975614,0.4246268863742262,0.2978459944563161,0.35971652202900206,0.004766336049245923,0.034705695850885565,STABLE_POSITIVE_LIFT
FOLD_5_HOLDOUT,Train 2021-2025 -> Test 2026 (Observed Holdout),2021-01-01 to 2026-01-01,2026-01-01 to 2026-10-01,76517,0.4295700842930644,0.32941196772919457,0.3961499426262003,0.330800910781777,0.406341635671967,0.07692966794277245,-0.02322844862109741,STABLE_POSITIVE_LIFT
