method,horizon,n_samples,mean_concordance,ci_95_lower,ci_95_upper,ci_width,assumes_iid
Naive_Binomial_Wilson_CI,4h,200,0.51,0.4412,0.5784,0.1373,True
Time_Aware_Block_Bootstrap_CI,4h,200,0.51,0.445,0.575,0.13,False
