target_horizon,model_specification,val_2025_r2,val_2025_delta_r2,val_2025_mae,val_2025_spearman_corr,val_p_value,holdout_2026_r2,holdout_2026_delta_r2,holdout_2026_mae,holdout_2026_spearman_corr,incremental_edge_verified
fwd_vol_1h,Baseline (Spot Only),0.36828595577889445,0.0,0.0004043561772746156,0.7095063872910835,1.0,0.40323953967856996,0.0,0.0004185007877274207,0.692172782252783,False
fwd_vol_1h,Baseline + Family A (Perp Price/Vol),0.3815185239961235,0.013232568217229068,0.00040111416445618727,0.717340180483675,4.787068415812808e-05,0.3831626665537563,-0.020076873124813654,0.00042461998647187597,0.6953141204108627,False
fwd_vol_1h,Baseline + Family B (Basis),0.3734534444133192,0.005167488634424733,0.0003988440114301762,0.7064683600181654,4.430524891077124e-15,0.23247996582585917,-0.1707595738527108,0.00043334076503043364,0.6865820216783513,False
fwd_vol_1h,Baseline + Family C (Funding),0.3724109772732094,0.004125021494314929,0.0003994931270327286,0.7043832849293928,9.71074467202471e-11,0.40652218493480463,0.003282645256234673,0.0004123807032992795,0.6879807800150526,False
fwd_vol_1h,Baseline + Family D (Open Interest),0.38726959723546617,0.01898364145657172,0.0003931833936666878,0.7097442754178158,9.714970522554144e-18,0.41272430837969,0.009484768701120028,0.000405878189943268,0.6898497554684617,True
fwd_vol_1h,Baseline + Family E (Positioning),0.3641290955822942,-0.0041568601966002205,0.00041209198638635374,0.7038252049156709,0.9999999999998933,0.3974640564802111,-0.005775483198358855,0.0004264724236447267,0.6892013514444691,False
fwd_vol_1h,Baseline + Family F (Taker Flow),0.3710307812151863,0.0027448254362918423,0.0004014114234596756,0.7114883752248385,5.8604476775499225e-05,0.40580983672668314,0.0025702970481131793,0.0004156052801764783,0.6945919867422805,False
fwd_vol_1h,Baseline + All Derivatives,0.4041421382377882,0.03585618245889377,0.00038366124698894333,0.7108413624665941,1.4698805643860764e-17,0.2952457610141287,-0.10799377866444126,0.00040573360982317473,0.6932983135736742,False
fwd_vol_4h,Baseline (Spot Only),0.3250108261781165,0.0,0.0004149721517165115,0.6841603357117557,1.0,0.41972388038938313,0.0,0.0004086441561652172,0.6722358017578929,False
fwd_vol_4h,Baseline + Family A (Perp Price/Vol),0.33998872966477944,0.014977903486662947,0.00041458934324171574,0.6907016392630303,0.8899838270903534,0.4050067965345068,-0.014717083854876356,0.00041624138887843735,0.6750541082876265,False
fwd_vol_4h,Baseline + Family B (Basis),0.33931070464518576,0.01429987846706926,0.0004023580861579947,0.6821377570040483,6.416654598631187e-91,0.2735545091835515,-0.14616937120583162,0.0004153963027650313,0.6663978409404123,False
fwd_vol_4h,Baseline + Family C (Funding),0.33342066041303375,0.008409834234917257,0.0004079836438254516,0.6743162980803116,3.985985772993588e-33,0.4260440901924488,0.006320209803065691,0.00040163476806831186,0.6638467289039819,False
fwd_vol_4h,Baseline + Family D (Open Interest),0.35447426996089626,0.029463443782779764,0.0003966577996213526,0.6829063823979001,8.374472382403775e-34,0.432902630792244,0.013178750402860873,0.00039179132248402706,0.6647262150101788,True
fwd_vol_4h,Baseline + Family E (Positioning),0.32921691987317003,0.004206093695053537,0.0004135501851409314,0.6781206227444502,0.0004173056024741672,0.4164144849672785,-0.003309395422104622,0.0004124532152095703,0.6713203841385567,False
fwd_vol_4h,Baseline + Family F (Taker Flow),0.3275108220684735,0.0024999958903569874,0.000412430308208041,0.685860800764682,0.030284731803934872,0.42204400733717096,0.002320126947787826,0.00040628195397847687,0.6744866185188333,False
fwd_vol_4h,Baseline + All Derivatives,0.3792466202979824,0.0542357941198659,0.00037693031186151647,0.6818162742191679,6.266639168829341e-70,0.38197424758542853,-0.0377496328039546,0.0003848744947382687,0.6660148170335365,False
fwd_vol_24h,Baseline (Spot Only),0.19077819166485,0.0,0.0004044368811130104,0.5879229226585311,1.0,0.3794607352264685,0.0,0.00035381376685934775,0.6378122030135156,False
fwd_vol_24h,Baseline + Family A (Perp Price/Vol),0.20713079089162467,0.016352599226774678,0.00040485944787660444,0.590154346875535,0.9999999999999997,0.3659935830473138,-0.013467152179154729,0.0003589431455332238,0.6373412069384784,False
fwd_vol_24h,Baseline + Family B (Basis),0.23764741893741148,0.04686922727256149,0.00038138055847565565,0.5846792014856768,1.2545062514209995e-155,0.24797835382600375,-0.13148238140046475,0.00034437872180324093,0.6334722889767171,False
fwd_vol_24h,Baseline + Family C (Funding),0.22740653262362587,0.036628340958775873,0.00038999930092448697,0.5765622892744777,2.4965105528224114e-39,0.4222017949425868,0.0427410597161183,0.00033486339926006313,0.6311944170874626,True
fwd_vol_24h,Baseline + Family D (Open Interest),0.2613364962914061,0.0705583046265561,0.0003832065698462545,0.5913265187984477,9.015677569783176e-51,0.4399492204612314,0.06048848523476291,0.0003270146131583077,0.6345991193238134,True
fwd_vol_24h,Baseline + Family E (Positioning),0.22852632249426652,0.037748130829416526,0.00038216957934488914,0.5989433092630846,4.2938963323859747e-41,0.39927277526814664,0.019812040041678136,0.0003459196251211431,0.6520147101894193,True
fwd_vol_24h,Baseline + Family F (Taker Flow),0.16533547015144712,-0.025442721513402877,0.00041626195972485863,0.5899752976336001,1.0,0.3497202676602944,-0.0297404675661741,0.00036567706682476264,0.640318935204437,False
fwd_vol_24h,Baseline + All Derivatives,0.31738345055880535,0.12660525889395535,0.0003450423704556044,0.5786203261185754,2.6176393751406606e-68,0.4137226657138784,0.034261930487409886,0.00031615353211250657,0.6308941787605566,True
