target_metric,model_specification,val_2025_r2,val_2025_delta_r2,val_2025_mae,holdout_2026_r2,holdout_2026_delta_r2,holdout_2026_mae,incremental_edge_verified
fwd_abs_ret_1h,Baseline (Spot Only),0.15034511183517596,0.0,0.002111668260306305,0.1483404550550711,0.0,0.002135900858852156,False
fwd_abs_ret_1h,Baseline + Basis (Fam B),0.15218861524483696,0.001843503409660996,0.0020930680568137286,0.10997754727801723,-0.03836290777705387,0.0021547398710822156,False
fwd_abs_ret_1h,Baseline + Open Interest (Fam D),0.15580197788491967,0.005456866049743714,0.0020832862390981564,0.15012049844524034,0.0017800433901692392,0.002102395912861415,False
fwd_abs_ret_1h,Baseline + Taker Flow (Fam F),0.15093408821861187,0.000588976383435913,0.0021078605938022518,0.1487909998024991,0.00045054474742800554,0.002132804571447121,False
fwd_abs_ret_1h,Baseline + All Derivatives,0.1619299391311686,0.011584827295992639,0.00207230001087636,0.13112380178641103,-0.017216653268660065,0.0021064403881144085,False
fwd_abs_ret_4h,Baseline (Spot Only),0.10077725107431079,0.0,0.004567560164151164,0.09754574656636772,0.0,0.004514402219828019,False
fwd_abs_ret_4h,Baseline + Basis (Fam B),0.10383675373582579,0.003059502661515001,0.004523921533796524,0.07414200032760121,-0.02340374623876651,0.004527517854558485,False
fwd_abs_ret_4h,Baseline + Open Interest (Fam D),0.11306771550178196,0.01229046442747117,0.004467500588394129,0.09499302890239625,-0.002552717663971471,0.004424390009200981,False
fwd_abs_ret_4h,Baseline + Taker Flow (Fam F),0.10002225310942814,-0.0007549979648826532,0.004577030624673092,0.09620468671357352,-0.001341059852794202,0.004526093391769896,False
fwd_abs_ret_4h,Baseline + All Derivatives,0.11575818264390036,0.014980931569589573,0.0044786786753252695,0.0697518134869739,-0.027793933079393818,0.004456471894075232,False
fwd_abs_ret_24h,Baseline (Spot Only),-0.004226849410169375,0.0,0.012207263077046494,0.05458330255250443,0.0,0.012074409967702083,False
fwd_abs_ret_24h,Baseline + Basis (Fam B),0.007694178071876556,0.011921027482045932,0.01202482536798386,0.04143402633458637,-0.01314927621791806,0.012008968441802433,False
fwd_abs_ret_24h,Baseline + Open Interest (Fam D),0.02304291930819946,0.027269768718368836,0.011958799954202012,0.061184414275802346,0.006601111723297914,0.011732216037315607,True
fwd_abs_ret_24h,Baseline + Taker Flow (Fam F),-0.017492702709496433,-0.013265853299327057,0.012363004141892665,0.0433736698588052,-0.011209632693699234,0.012231468317273722,False
fwd_abs_ret_24h,Baseline + All Derivatives,0.01492389548246753,0.019150744892636906,0.011344729895527332,0.04722998583017268,-0.007353316722331749,0.011362308088845585,False
fwd_range_1h,Baseline (Spot Only),0.32542361953217136,0.0,0.002658123317970381,0.3377894649649038,0.0,0.0027047774706113466,False
fwd_range_1h,Baseline + Basis (Fam B),0.333443626214887,0.00802000668271563,0.002607752919108068,0.1858031939623015,-0.1519862710026023,0.0027797271150561487,False
fwd_range_1h,Baseline + Open Interest (Fam D),0.3454489100627396,0.02002529053056823,0.002578470845414741,0.35092256603747407,0.013133101072570263,0.002612326153607414,True
fwd_range_1h,Baseline + Taker Flow (Fam F),0.33101501808318734,0.00559139855101598,0.0026200295057014684,0.3423702021767756,0.004580737211871799,0.002670168018499464,False
fwd_range_1h,Baseline + All Derivatives,0.36833883632649733,0.04291521679432597,0.0024318098194195375,0.27332594146233435,-0.06446352350256945,0.002556300947848095,False
fwd_range_4h,Baseline (Spot Only),0.23224072168321086,0.0,0.005958688178490969,0.2778398643530018,0.0,0.005798687582425283,False
fwd_range_4h,Baseline + Basis (Fam B),0.2472648148019978,0.015024093118786941,0.005802296797674389,0.18255928189420334,-0.09528058245879845,0.005840811656618529,False
fwd_range_4h,Baseline + Open Interest (Fam D),0.2620872228298746,0.029846501146663762,0.005726183750624915,0.29023438089971476,0.012394516546712975,0.005572302271630807,True
fwd_range_4h,Baseline + Taker Flow (Fam F),0.23548009118768565,0.0032393695044747872,0.005918608603598513,0.28020965174099,0.002369787387988209,0.005761251079308853,False
fwd_range_4h,Baseline + All Derivatives,0.2882355486603071,0.055994826977096235,0.005417732198692935,0.26200857404341005,-0.01583129030959174,0.0054309817497605155,False
fwd_range_24h,Baseline (Spot Only),0.07085170252475759,0.0,0.015368374893489238,0.15678349898298827,0.0,0.014586169940600103,False
fwd_range_24h,Baseline + Basis (Fam B),0.11332338164989841,0.04247167912514083,0.014741490757834695,0.09033987754031703,-0.06644362144267124,0.014182315166761713,False
fwd_range_24h,Baseline + Open Interest (Fam D),0.1297740053721349,0.05892230284737732,0.014836916791379025,0.20520416893877513,0.048420669955786866,0.01364673939208575,True
fwd_range_24h,Baseline + Taker Flow (Fam F),0.04205418696976082,-0.028797515554996767,0.0157501338700652,0.12538512300571913,-0.03139837597726913,0.015018783329376083,False
fwd_range_24h,Baseline + All Derivatives,0.17843425360733056,0.10758255108257297,0.013482528432092224,0.191397469172239,0.03461397018925072,0.012890123480477678,True
