fold_name,train_period,test_period,spot_baseline_r2,spot_plus_derivatives_r2,incremental_delta_r2,positive_incremental_edge
Fold 1 (2021 -> 2022),2021-01-01 to 2022-01-01,2022-01-01 to 2023-01-01,0.389987052476948,0.40806050195425003,0.01807344947730205,True
Fold 2 (2021-2022 -> 2023),2021-01-01 to 2023-01-01,2023-01-01 to 2024-01-01,0.08932837058621157,0.21603703954061948,0.1267086689544079,True
Fold 3 (2021-2023 -> 2024),2021-01-01 to 2024-01-01,2024-01-01 to 2025-01-01,0.3523574543258695,0.32426932559346433,-0.028088128732405182,False
Fold 4 (2021-2024 -> 2025),2021-01-01 to 2025-01-01,2025-01-01 to 2026-01-01,0.3250108261781165,0.3792466202979824,0.0542357941198659,True
Fold 5 (2021-2025 -> 2026),2021-01-01 to 2026-01-01,2026-01-01 to 2026-10-01,0.4284126201405434,0.2902693244990334,-0.13814329564150996,False
