target_horizon,model_specification,val_2025_raw_accuracy,val_2025_auc,val_2025_baseline_adjusted_lift,holdout_2026_raw_accuracy,holdout_2026_auc,holdout_2026_baseline_adjusted_lift,binomial_p_value,directional_edge_verified
fwd_ret_1h,Majority Class Baseline,0.5051369863013698,0.5,0.005136986301369828,0.4996538345982522,0.5,-0.0003461654017478111,0.0008747446537143284,False
fwd_ret_1h,Spot Trend Baseline (24h),0.4852073820395738,0.4872554290650199,0.0,0.49031390017373583,0.4860906255060483,0.0,8.825936369494153e-22,False
fwd_ret_1h,Spot Full Baseline,0.5197393455098934,0.5266544241639641,0.034531963470319615,0.5162436481914491,0.5239434478331447,0.02592974801771325,1.6729152795687164e-37,True
fwd_ret_1h,Spot + Basis (Fam B),0.5199771689497716,0.5265722502065336,0.03476978691019783,0.516256711036798,0.5233282479793473,0.025942810863062216,2.2680483438019706e-38,True
fwd_ret_1h,Spot + Funding (Fam C),0.5188451293759513,0.5259421618948528,0.03363774733637748,0.514767546667015,0.5235843428704624,0.024453646493279135,2.4801105773384226e-34,True
fwd_ret_1h,Spot + Open Interest (Fam D),0.5211282343987823,0.528500261379985,0.0359208523592085,0.5169751675309916,0.5252666247920988,0.02666126735725577,1.0232947207890383e-42,True
fwd_ret_1h,Spot + Positioning (Fam E),0.5169520547945206,0.5246527436571911,0.031744672754946746,0.5134220735960707,0.5231416976331996,0.0231081734223349,4.24931415738434e-28,True
fwd_ret_1h,Spot + Taker Flow (Fam F),0.5194349315068493,0.5264304490305409,0.034227549467275464,0.5174846184996016,0.5238764498898447,0.02717071832586576,2.0858342922727247e-36,True
fwd_ret_1h,Spot + All Derivatives,0.5190544140030442,0.5268047701485232,0.033847031963470386,0.5147022324402701,0.5236625831284397,0.024388332266534307,4.6275292456216993e-35,True
fwd_ret_4h,Majority Class Baseline,0.5111206240487063,0.5,0.011120624048706285,0.501378778572082,0.5,0.0013787785720820178,5.664967121364837e-13,False
fwd_ret_4h,Spot Trend Baseline (24h),0.4756849315068493,0.4739546041306766,0.0,0.4888456160069004,0.48334061227552366,0.0,5.250196120117369e-56,False
fwd_ret_4h,Spot Full Baseline,0.5311453576864535,0.5419618862697407,0.05546042617960423,0.507076858737274,0.5103001787060857,0.01823124273037363,9.896265137215642e-91,False
fwd_ret_4h,Spot + Basis (Fam B),0.5319920091324201,0.5420411996218992,0.056307077625570745,0.5068154789131827,0.5085816352257111,0.017969862906282275,1.2511664625491154e-95,False
fwd_ret_4h,Spot + Funding (Fam C),0.5305650684931507,0.5405612024531888,0.05488013698630134,0.5073643765437745,0.514017445707783,0.018518760536874124,1.8919746104217929e-87,False
fwd_ret_4h,Spot + Open Interest (Fam D),0.5328196347031964,0.5414032902825023,0.05713470319634706,0.5096383810133696,0.5164724650738465,0.02079276500646915,1.522228214817638e-100,True
fwd_ret_4h,Spot + Positioning (Fam E),0.518455098934551,0.5260750374686951,0.04277016742770168,0.5031692303671079,0.5077609509246915,0.014323614360207515,5.3957826301131565e-33,False
fwd_ret_4h,Spot + Taker Flow (Fam F),0.530736301369863,0.5412829431291561,0.05505136986301373,0.5087758275938681,0.5111497527735317,0.019930211586967672,2.065496113159166e-88,False
fwd_ret_4h,Spot + All Derivatives,0.517722602739726,0.5294243332133792,0.04203767123287672,0.5069592378164329,0.5163042149438193,0.01811362180953252,1.4771822606236173e-30,False
fwd_ret_24h,Majority Class Baseline,0.51470700152207,0.5,0.014707001522070051,0.509734258033221,0.5,0.009734258033221033,1.509489268156265e-21,False
fwd_ret_24h,Spot Trend Baseline (24h),0.49040144596651447,0.48346041991185185,0.0,0.5141916960551673,0.5132894280498331,0.0,4.932748647111875e-10,False
fwd_ret_24h,Spot Full Baseline,0.5128519786910198,0.5204123514156309,0.022450532724505368,0.4919045059454357,0.4914024520967102,-0.022287190109731625,8.005421822606822e-17,False
fwd_ret_24h,Spot + Basis (Fam B),0.5159341704718418,0.517806503232473,0.025532724505327287,0.49963947192469554,0.49180268830788393,-0.014552224130471803,5.145137213160021e-25,False
fwd_ret_24h,Spot + Funding (Fam C),0.5174847792998478,0.5273979887200044,0.027083333333333348,0.5013044561270108,0.49210355821333596,-0.012887239928156546,8.70650904034825e-30,False
fwd_ret_24h,Spot + Open Interest (Fam D),0.5237728310502283,0.5271676878687379,0.033371385083713845,0.5043460020713977,0.49035468358465084,-0.009845693983769666,1.2944049631688666e-53,False
fwd_ret_24h,Spot + Positioning (Fam E),0.5007705479452055,0.49241018616417576,0.010369101978691009,0.47824376941935315,0.4688479238134013,-0.0359479266358142,0.6194903273501313,False
fwd_ret_24h,Spot + Taker Flow (Fam F),0.51287100456621,0.5210029309263915,0.02246955859969557,0.49903640678054983,0.49351454283566737,-0.015155289274617512,7.212404937584046e-17,False
fwd_ret_24h,Spot + All Derivatives,0.5154204718417047,0.511202251670684,0.025019025875190226,0.493726811489702,0.4780268311116326,-0.020464884565465358,1.5705706670109143e-23,False
