target_horizon,tail_event_level,threshold_value,model_specification,val_2025_roc_auc,val_2025_brier_score,holdout_2026_roc_auc,holdout_2026_brier_score,tail_lift_over_spot
fwd_abs_ret_4h,extreme_95th,0.028411633886951917,Spot Baseline,0.7940677623278439,0.11758652194283148,0.7390005061175611,0.11612522689560331,0.29406776232784393
fwd_abs_ret_4h,extreme_95th,0.028411633886951917,Spot + All Derivatives,0.7589241857483348,0.08349704232896878,0.6972810608626868,0.08462027631315445,0.25892418574833476
fwd_abs_ret_4h,tail_99th,0.04975036735217706,Spot Baseline,0.886446097126875,0.08858033104439328,0.8076800863784598,0.08635837587427492,0.38644609712687505
fwd_abs_ret_4h,tail_99th,0.04975036735217706,Spot + All Derivatives,0.8652378114670736,0.054115381958197525,0.7571098812887349,0.04819888802540589,0.36523781146707357
fwd_abs_ret_24h,extreme_95th,0.07012290008304725,Spot Baseline,0.7171899721386159,0.14540502881659492,0.7715536132259629,0.14293998416326795,0.2171899721386159
fwd_abs_ret_24h,extreme_95th,0.07012290008304725,Spot + All Derivatives,0.5932975013243864,0.05310136408310818,0.6707776823841267,0.06195128822614342,0.09329750132438641
fwd_abs_ret_24h,tail_99th,0.11179075840657095,Spot Baseline,0.8213381916431997,0.11029094178588784,0.6845576805013858,0.10764946783087781,0.32133819164319966
fwd_abs_ret_24h,tail_99th,0.11179075840657095,Spot + All Derivatives,0.8026022242940862,0.13668567482589672,0.6700960042154198,0.09264576099830174,0.30260222429408623
