interaction_pair,base_r2,with_interaction_r2,delta_r2,interaction_meaningful
Compression x OI Change,-0.3713418802659969,-0.37152650054538583,-0.0001846202793889251,False
Compression x Funding Z-Score,-0.41083308294795295,-0.4105050018175549,0.0003280811303980613,False
Basis x Positioning Divergence,0.0003732813510336497,-0.0571851185698844,-0.057558399920918046,False
Taker Flow x OI Accel,-0.4185321282862331,-0.41846631416500935,6.581412122375063e-05,False
